12/09/2016 17:15:39: Starting 
12/09/2016 17:59:50: Temp: 25.0 C  Humidity: 93.0 % 
12/09/2016 18:00:20: Temp: 25.0 C  Humidity: 93.0 % 
12/09/2016 18:00:51: Temp: 25.0 C  Humidity: 93.0 % 
12/09/2016 18:01:22: Temp: 25.0 C  Humidity: 93.0 % 
12/09/2016 18:01:52: Temp: 25.0 C  Humidity: 93.0 % 
12/09/2016 18:02:23: Temp: 25.0 C  Humidity: 93.0 % 
12/09/2016 18:02:53: Temp: 25.0 C  Humidity: 93.0 % 
12/09/2016 18:03:24: Temp: 25.0 C  Humidity: 93.0 % 
12/09/2016 18:03:54: Temp: 25.0 C  Humidity: 93.0 % 
12/09/2016 18:04:25: Temp: 25.0 C  Humidity: 93.0 % 
12/09/2016 18:04:58: Temp: 25.0 C  Humidity: 93.0 % 
12/09/2016 18:05:29: Temp: 25.0 C  Humidity: 93.0 % 
12/09/2016 18:05:59: Temp: 25.0 C  Humidity: 93.0 % 
12/09/2016 18:06:30: Temp: 25.0 C  Humidity: 93.0 % 
12/09/2016 18:07:00: Temp: 25.0 C  Humidity: 93.0 % 
12/09/2016 18:07:31: Temp: 25.0 C  Humidity: 93.0 % 
12/09/2016 18:08:01: Temp: 25.0 C  Humidity: 93.0 % 
12/09/2016 18:08:32: Temp: 25.0 C  Humidity: 93.0 % 
12/09/2016 18:09:02: Temp: 25.0 C  Humidity: 94.0 % 
12/09/2016 18:09:35: Temp: 25.0 C  Humidity: 94.0 % 
12/09/2016 18:10:06: Temp: 25.0 C  Humidity: 94.0 % 
12/09/2016 18:10:37: Temp: 25.0 C  Humidity: 94.0 % 
12/09/2016 18:11:07: Temp: 25.0 C  Humidity: 94.0 % 
12/09/2016 18:11:38: Temp: 25.0 C  Humidity: 94.0 % 
12/09/2016 18:12:08: Temp: 25.0 C  Humidity: 94.0 % 
12/09/2016 18:12:39: Temp: 25.0 C  Humidity: 94.0 % 
12/09/2016 18:13:09: Temp: 25.0 C  Humidity: 94.0 % 
